grade	word	meaning	category	expected_image
3-2	too	也	adv	too.png
3-2	we	我们	pronoun	we.png
3-2	paint	画画	verb	paint.png
3-2	skate	滑冰	verb	skate.png
3-2	at home	在家	phrase	at_home.png
3-2	come in	进来	phrase	come_in.png
3-2	worker	工人	job	worker.png
3-2	card	卡片	noun	card.png
3-2	noodle	面条	food	noodle.png
3-2	dear	亲爱的	adj	dear.png
3-2	for	为了	prep	for.png
3-2	how old	多大（年纪）	phrase	how_old.png
3-2	cow	牛	animal	cow.png
3-2	horse	马	animal	horse.png
3-2	pig	猪	animal	pig.png
3-2	sheep	羊	animal	sheep.png
3-2	farm	农场	place	farm.png
3-2	great	好，伟大的	adj	great.png
3-2	litter	垃圾	noun	litter.png
3-2	stone	石头	nature	stone.png
3-2	throw	扔	verb	throw.png
3-2	head	头	body	head.png
3-2	body	身体	body	body.png
3-2	arm	胳膊	body	arm.png
3-2	hand	手	body	hand.png
3-2	leg	腿	body	leg.png
3-2	foot	脚	body	foot.png
3-2	tea	茶	drink	tea.png
3-2	cup	杯子	noun	cup.png
3-2	day	天，白天	time	day.png
3-2	idea	主意	noun	idea.png
3-2	afraid of	害怕	phrase	afraid_of.png
3-2	bad	坏的	adj	bad.png
3-2	house	房子	place	house.png
3-2	little	小，一点儿	adj	little.png
3-2	now	现在	time	now.png
3-2	there	那里	place	there.png
3-2	very	非常	adv	very.png
